ABC,Water,Gluten%,SV ml,Moisture,Temperature
3.3,17,10.77,26,12.52,27.8
3.3,17,10.77,26,12.52,29.4
3.3,17,10.77,26,12.52,31
3.3,17,10.77,26,12.52,33.7
3.3,17,10.77,26,12.52,33.7
5.1,17,10.77,26,12.52,33.7
5.1,17,10.77,26,12.52,36.3
5.1,17,10.77,26,12.52,36.3
5.1,17,10.77,26,12.52,38.7
5,17,10.77,26,12.52,38.7
5,17,10.77,26,12.52,39.8
5,17,10.77,26,12.52,39.8
4.8,17,10.77,26,12.52,39.8
4.8,17,10.77,26,12.52,40.6
4.8,17,10.77,26,12.52,40.6
4.8,17,10.77,26,12.52,40.6
4.5,17,10.77,26,12.52,41.2
4.5,17,10.77,26,12.52,41.2
4.5,17,10.77,26,12.52,40.5
4.5,17,10.77,26,12.52,40.5
4.5,17,10.77,26,12.52,39.3
4.5,17,10.77,26,12.52,39.3
4.6,17,10.77,26,12.52,38.2
4.6,17,10.77,26,12.52,38.2
4.6,17,10.77,26,12.52,35.9
4.8,16,10.77,26,12.52,27.8
4.8,16,10.77,26,12.52,29.4
4.8,15,10.77,26,12.52,29.4
4.8,15,10.77,26,12.52,29.4
4.8,15,10.77,26,12.52,31.7
4.8,15,10.77,26,12.52,31.7
4.8,15,10.77,26,12.52,30.8
4.8,15,10.77,26,12.52,30.8
4.8,15,10.77,26,12.52,29.6
4.8,15,10.77,26,12.52,29.6
4.8,15,10.77,26,12.52,28.5
4.8,15,10.77,26,12.52,28.5
4.8,15,10.77,26,12.52,27.9
4.8,15,10.77,26,12.52,27.9
4.8,15,10.77,26,12.52,27.9
4.8,15,10.77,26,12.52,27.1
4.8,15,10.77,26,12.52,27.1
4.8,15,10.77,26,12.52,27.1
4.8,15,10.77,26,12.52,26.3
4.8,15,10.77,26,12.52,26.3
4.8,16,10.77,26,12.52,26.3
4.8,16,10.77,26,12.52,26.3
4.8,16,10.77,26,12.52,26.2
4.8,16,10.77,26,12.52,26.2
4.8,16,10.77,26,12.52,26.1
5,16,11.24,26,12.17,31.5
5,16,11.24,26,12.17,31.5
5,16,11.24,26,12.17,34
5,16,11.24,26,12.17,34
5,16,11.24,26,12.17,34
5,16,11.24,26,12.17,34
5,16,11.24,26,12.17,36
5,16,11.24,26,12.17,36
5,16,11.24,26,12.17,36
5,16,11.24,26,12.17,36
5,16,11.24,26,12.17,36
5,16,11.24,26,12.17,37
5,16,11.24,26,12.17,37
5,16,11.24,26,12.17,38.7
5,16,11.24,26,12.17,38.7
5,16,11.24,26,12.17,37
5,16,11.24,26,12.17,37
5,16,11.24,26,12.17,37
