ABC,Water,SMBS,Gluten%,SV ml,Moisture,Datetime
3.3,17,140,10.77,26,12.52,2023-04-15:06
3.3,17,140,10.77,26,12.52,2023-04-15:07
3.3,17,140,10.77,26,12.52,2023-04-15:08
3.3,17,140,10.77,26,12.52,2023-04-15:09
3.3,17,140,10.77,26,12.52,2023-04-15:09
5.1,17,140,10.77,26,12.52,2023-04-15:09
5.1,17,140,10.77,26,12.52,2023-04-15:10
5.1,17,140,10.77,26,12.52,2023-04-15:10
5.1,17,140,10.77,26,12.52,2023-04-15:11
5,17,140,10.77,26,12.52,2023-04-15:11
5,17,140,10.77,26,12.52,2023-04-15:12
5,17,140,10.77,26,12.52,2023-04-15:12
4.8,17,140,10.77,26,12.52,2023-04-15:12
4.8,17,140,10.77,26,12.52,2023-04-15:13
4.8,17,140,10.77,26,12.52,2023-04-15:13
4.8,17,140,10.77,26,12.52,2023-04-15:13
4.5,17,140,10.77,26,12.52,2023-04-15:14
4.5,17,140,10.77,26,12.52,2023-04-15:14
4.5,17,140,10.77,26,12.52,2023-04-15:15
4.5,17,140,10.77,26,12.52,2023-04-15:15
4.5,17,140,10.77,26,12.52,2023-04-15:16
4.5,17,140,10.77,26,12.52,2023-04-15:16
4.6,17,140,10.77,26,12.52,2023-04-15:17
4.6,17,140,10.77,26,12.52,2023-04-15:17
4.6,17,140,10.77,26,12.52,2023-04-15:18
4.8,16,140,10.77,26,12.52,2023-04-15:06
4.8,16,140,10.77,26,12.52,2023-04-15:07
4.8,15,140,10.77,26,12.52,2023-04-15:07
4.8,15,140,10.77,26,12.52,2023-04-15:07
4.8,15,140,10.77,26,12.52,2023-04-15:20
4.8,15,140,10.77,26,12.52,2023-04-15:20
4.8,15,140,10.77,26,12.52,2023-04-15:21
4.8,15,140,10.77,26,12.52,2023-04-15:21
4.8,15,140,10.77,26,12.52,2023-04-15:22
4.8,15,140,10.77,26,12.52,2023-04-15:22
4.8,15,140,10.77,26,12.52,2023-04-15:23
4.8,15,140,10.77,26,12.52,2023-04-15:23
4.8,15,140,10.77,26,12.52,2023-04-15:00
4.8,15,140,10.77,26,12.52,2023-04-15:00
4.8,15,140,10.77,26,12.52,2023-04-15:00
4.8,15,140,10.77,26,12.52,2023-04-15:01
4.8,15,140,10.77,26,12.52,2023-04-15:01
